permalink,api_path,web_path,api_url,first_name,last_name,gender,title,organization_permalink,organization_api_path,organization_web_path,organization_name,profile_image_url,homepage_url,facebook_url,twitter_url,linkedin_url,city_name,region_name,country_code,created_at,updated_at
savvas-bout,people/savvas-bout,person/savvas-bout,https://api.crunchbase.com/v3.1/people/savvas-bout,Savvas,Bout,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/egwze1mkqugzcldketvg,,,,,,,,1598871717,1598871717
james-a-collins,people/james-a-collins,person/james-a-collins,https://api.crunchbase.com/v3.1/people/james-a-collins,James,A. Collins,Male,,,organizations/,organization/,,,,,,,,,,1598871476,1598871476
ben-brussen,people/ben-brussen,person/ben-brussen,https://api.crunchbase.com/v3.1/people/ben-brussen,Ben,Brussen,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/xaxvxp0a82t5gldjvgpc,,,,,,,,1598871476,1598871476
nicholas-hill-dc21,people/nicholas-hill-dc21,person/nicholas-hill-dc21,https://api.crunchbase.com/v3.1/people/nicholas-hill-dc21,Nicholas,Hill,Male,,,organizations/,organization/,,,,,,https://www.linkedin.com/in/nicholas-hill-69694925/,Bend,Oregon,United States,1598871222,1598871222
shaurya-poddar,people/shaurya-poddar,person/shaurya-poddar,https://api.crunchbase.com/v3.1/people/shaurya-poddar,Shaurya,Poddar,Male,,,organizations/,organization/,,,,,,,,,,1598871214,1598871214
godelef-kühl,people/godelef-kühl,person/godelef-kühl,https://api.crunchbase.com/v3.1/people/godelef-kühl,Godelef,Kühl,Male,,,organizations/,organization/,,,,,,,,,,1598871188,1598871188
jean-christophe-bouglé,people/jean-christophe-bouglé,person/jean-christophe-bouglé,https://api.crunchbase.com/v3.1/people/jean-christophe-bouglé,Jean-Christophe,Bouglé,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/mogd2p65trq05keavagx,,,,https://www.linkedin.com/in/jeanchristophebougle/,,,,1598871146,1598871146
sophie-normand,people/sophie-normand,person/sophie-normand,https://api.crunchbase.com/v3.1/people/sophie-normand,Sophie,Normand,Female,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/bbfql5n6dfjwt0nvrwfc,,,,https://www.linkedin.com/in/sophienormand/,,,,1598871146,1598871146
matthew-davis-5e60,people/matthew-davis-5e60,person/matthew-davis-5e60,https://api.crunchbase.com/v3.1/people/matthew-davis-5e60,Matthew,Davis,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/boc2ybdj6jwcbhsumd4d,http://matthewdavis.net/,https://www.facebook.com/profile.php?id=100053816709672,https://twitter.com/immatthew_davis?lang=en,https://www.linkedin.com/in/matthew-davis-93460a1b2/,,,,1596131940,1598884511
jean-philippe-persico,people/jean-philippe-persico,person/jean-philippe-persico,https://api.crunchbase.com/v3.1/people/jean-philippe-persico,Jean-Philippe,Persico,Male,,,organizations/,organization/,,http://public.crunchbase.com/t_api_images/h9sla2jbfo2xgao7m5lc,,,https://twitter.com/schafi_jp,https://www.linkedin.com/in/jppersico,Chicago,Illinois,United States,1598884470,1598884470
